PoS tag,match word,display word,word length,entity name
NNP,국제신문,국제신문,4,
NNP,군산뉴스,군산뉴스,4,
NNP,군포인뉴스,군포인뉴스,5,
NNP,글로벌오토뉴스,글로벌오토뉴스,7,
NNP,금산뉴스,금산뉴스,4,
NNP,기독교타임즈,기독교타임즈,6,
NNP,길림신문,길림신문,4,
NNP,김천신문,김천신문,4,
NNP,김천인터넷뉴스,김천인터넷뉴스,7,
NNP,김해신문,김해신문,4,
NNP,김해인터넷신문,김해인터넷신문,7,
NNP,나이스제천뉴스,나이스제천뉴스,7,
NNP,나주신문,나주신문,4,
NNP,나주타임스,나주타임스,5,
NNP,나주화순인터넷뉴스,나주화순인터넷뉴스,9,
NNP,남도신문,남도신문,4,
NNP,남도tv,남도tv,4,
NNP,남양주인뉴스,남양주인뉴스,6,
NNP,남원투데이,남원투데이,5,
NNP,내일i사진넷,내일i사진넷,6,
NNP,노동넷,노동넷,3,
NNP,노동의소리,노동의소리,5,
NNP,노동자의_힘,노동자의_힘,6,
NNP,뉴스25,뉴스25,4,
NNP,뉴스광주,뉴스광주,4,
NNP,뉴스보이,뉴스보이,4,
NNP,뉴스비전e,뉴스비전e,5,
NNP,뉴스비트,뉴스비트,4,
NNP,뉴스앤조이,뉴스앤조이,5,
NNP,뉴스인,뉴스인,3,
NNP,뉴스인사이드,뉴스인사이드,6,
NNP,뉴스저널,뉴스저널,4,
NNP,뉴스캔,뉴스캔,3,
NNP,뉴스코리아_부천,뉴스코리아_부천,8,
NNP,뉴스타운,뉴스타운,4,
NNP,뉴스타임즈,뉴스타임즈,5,
NNP,뉴스파인드,뉴스파인드,5,
NNP,담양곡성타임스,담양곡성타임스,7,
NNP,담양군민신문,담양군민신문,6,
NNP,담양주간신문,담양주간신문,6,
NNP,당진신문,당진신문,4,
NNP,대구경제신문,대구경제신문,6,
NNP,대구동네방네,대구동네방네,6,
NNP,대한검찰,대한검찰,4,
NNP,데일리안_광주/전라,데일리안_광주/전라,10,
NNP,데일리안_대구/경북,데일리안_대구/경북,10,
NNP,도시신문,도시신문,4,
NNP,동국일보,동국일보,4,
NNP,동남일보,동남일보,4,
NNP,동두천신문,동두천신문,5,
NNP,동부과학기술신문,동부과학기술신문,8,
NNP,동부권신문,동부권신문,5,
NNP,동아블로그,동아블로그,5,
NNP,디시뉴스,디시뉴스,4,
NNP,디지털경영인신문,디지털경영인신문,8,
NNP,디지털보훈신문,디지털보훈신문,7,
NNP,라디오코리아,라디오코리아,6,
NNP,리뷰조선,리뷰조선,4,
NNP,매일경제_금융센터,매일경제_금융센터,9,
NNP,매일경제_부동산센터,매일경제_부동산센터,10,
NNP,매일경제_증권센터,매일경제_증권센터,9,
NNP,매일경제_지식센터,매일경제_지식센터,9,
NNP,매일경제_창업센터,매일경제_창업센터,9,
NNP,목포투데이,목포투데이,5,
NNP,무안신안인터넷뉴스,무안신안인터넷뉴스,9,
NNP,미주가톨릭방송,미주가톨릭방송,7,
NNP,미주교육신문,미주교육신문,6,
NNP,미주기독교방송,미주기독교방송,7,
NNP,미주복음방송,미주복음방송,6,
NNP,미추홀뉴스,미추홀뉴스,5,
NNP,밀양시민신문,밀양시민신문,6,
NNP,보부뉴스,보부뉴스,4,
NNP,부산여성신문,부산여성신문,6,
NNP,부천투데이,부천투데이,5,
NNP,북소리,북소리,3,
NNP,분수네신문,분수네신문,5,
NNP,뷰티누리,뷰티누리,4,
NNP,브레이크뉴스-울산경남,브레이크뉴스-울산경남,11,
NNP,브리핑뉴스,브리핑뉴스,5,
NNP,사회복지환경뉴스,사회복지환경뉴스,8,
NNP,산림환경뉴스,산림환경뉴스,6,
NNP,산업일보,산업일보,4,
NNP,산업환경신문,산업환경신문,6,
NNP,상주인터넷뉴스,상주인터넷뉴스,7,
NNP,상하이저널,상하이저널,5,
NNP,새만금일보,새만금일보,5,
NNP,새안산뉴스,새안산뉴스,5,
NNP,서부산신문,서부산신문,5,
NNP,서산타임즈,서산타임즈,5,
NNP,서울메트로,서울메트로,5,
NNP,서울문화투데이,서울문화투데이,7,
NNP,선박뉴스,선박뉴스,4,
NNP,성남도시신문,성남도시신문,6,
NNP,성주인터넷뉴스,성주인터넷뉴스,7,
NNP,세계닷컴뉴스팀블로그,세계닷컴뉴스팀블로그,10,
NNP,셀룰러온라인,셀룰러온라인,6,
NNP,소리샵,소리샵,3,
NNP,수산신문,수산신문,4,
NNP,수원시민신문,수원시민신문,6,
NNP,수원인터넷신문,수원인터넷신문,7,
NNP,순천신문,순천신문,4,
NNP,스틸데일리,스틸데일리,5,
NNP,스팟뉴스,스팟뉴스,4,
NNP,스팟뉴스,스팟뉴스,4,
NNP,스포팅21,스포팅21,5,
NNP,시민뉴스,시민뉴스,4,
NNP,시민시대,시민시대,4,
NNP,시민신문,시민신문,4,
NNP,시민연합뉴스,시민연합뉴스,6,
NNP,시민의신문,시민의신문,5,
NNP,시사뉴스타임스,시사뉴스타임스,7,
NNP,시사랑,시사랑,3,
NNP,시사메디,시사메디,4,
NNP,시사모,시사모,3,
NNP,시사울산,시사울산,4,
NNP,시사종합신문뉴스21,시사종합신문뉴스21,10,
NNP,시사타임,시사타임,4,
NNP,시사파일,시사파일,4,
NNP,시사IN,시사IN,4,
NNP,시시비비뉴스,시시비비뉴스,6,
NNP,식약청뉴스,식약청뉴스,5,
NNP,식품경제신문,식품경제신문,6,
NNP,식품일보,식품일보,4,
NNP,아산시사신문,아산시사신문,6,
NNP,아산톱뉴스,아산톱뉴스,5,
NNP,아시아위클리뉴스,아시아위클리뉴스,8,
NNP,아우어뉴스,아우어뉴스,5,
NNP,아이크로스_교차로,아이크로스_교차로,9,
NNP,안동신문,안동신문,4,
NNP,야후미디어,야후미디어,5,
NNP,엔씨엔뉴스,엔씨엔뉴스,5,
NNP,엔에스아이뉴스,엔에스아이뉴스,7,
NNP,여수신문,여수신문,4,
NNP,여수인터넷뉴스,여수인터넷뉴스,7,
NNP,여약사신문,여약사신문,5,
NNP,연기in뉴스,연기in뉴스,6,
NNP,연변인터넷방송,연변인터넷방송,7,
NNP,연변일보,연변일보,4,
NNP,연변TV방송국,연변TV방송국,7,
NNP,연합뉴스TV,연합뉴스TV,6,
NNP,연해뉴스,연해뉴스,4,
NNP,영남인터넷방송,영남인터넷방송,7,
NNP,영덕울진인터넷뉴스,영덕울진인터넷뉴스,9,
NNP,영암군민신문,영암군민신문,6,
NNP,예천인터넷뉴스,예천인터넷뉴스,7,
NNP,최재천의시사큐비즘,최재천의시사큐비즘,9,
NNP,오션21,오션21,4,
NNP,온라인인물뉴스,온라인인물뉴스,7,
NNP,온미디어,온미디어,4,
NNP,온주신문,온주신문,4,
NNP,와이뉴스,와이뉴스,4,
NNP,용인시청뉴스,용인시청뉴스,6,
NNP,용인일보,용인일보,4,
NNP,울산노동뉴스,울산노동뉴스,6,
NNP,월간중앙,월간중앙,4,
NNP,월간컨트롤,월간컨트롤,5,
NNP,월요신문,월요신문,4,
NNP,웰빙신문,웰빙신문,4,
NNP,윈글리쉬닷컴,윈글리쉬닷컴,6,
NNP,의성인터넷신문,의성인터넷신문,7,
NNP,이머니뉴스,이머니뉴스,5,
NNP,이브닝,이브닝,3,
NNP,이상호기자의고발뉴스,이상호기자의고발뉴스,10,
NNP,이슈투데이,이슈투데이,5,
NNP,이천설봉신문,이천설봉신문,6,
NNP,익산시민뉴스,익산시민뉴스,6,
NNP,익산신문,익산신문,4,
NNP,인제뉴스,인제뉴스,4,
NNP,인터넷장애인신문,인터넷장애인신문,8,
NNP,인터넷하동신문,인터넷하동신문,7,
NNP,일간스포츠,일간스포츠,5,
NNP,임실신문,임실신문,4,
NNP,자유북한방송,자유북한방송,6,
NNP,장흥신문,장흥신문,4,
NNP,전교학신문,전교학신문,5,
NNP,전남도민신문,전남도민신문,6,
NNP,전남매일,전남매일,4,
NNP,전북방송,전북방송,4,
NNP,전북연합신문,전북연합신문,6,
NNP,주간경향,주간경향,4,
NNP,주간설악신문,주간설악신문,6,
NNP,중랑뉴스,중랑뉴스,4,
NNP,중부신문,중부신문,4,
NNP,중소기업뉴스,중소기업뉴스,6,
NNP,중앙경제,중앙경제,4,
NNP,중앙일보_벤쿠버,중앙일보_벤쿠버,8,
NNP,중앙폴리스뉴스,중앙폴리스뉴스,7,
NNP,중앙SUNDAY,중앙SUNDAY,8,
NNP,직업훈련뉴스,직업훈련뉴스,6,
NNP,진도신문,진도신문,4,
NNP,진도타임스,진도타임스,5,
NNP,진보저널,진보저널,4,
NNP,진천자치신문,진천자치신문,6,
NNP,창녕신문,창녕신문,4,
NNP,창원인터넷신문,창원인터넷신문,7,
NNP,청도뉴스,청도뉴스,4,
NNP,청소년뉴스,청소년뉴스,5,
NNP,충주신문,충주신문,4,
NNP,칠곡인터넷뉴스,칠곡인터넷뉴스,7,
NNP,코리아투데이,코리아투데이,6,
NNP,코리아e뉴스,코리아e뉴스,6,
NNP,큐뉴스,큐뉴스,3,
NNP,태백정선인터넷뉴스,태백정선인터넷뉴스,9,
NNP,테터툴즈_소비자방송을보다,테터툴즈_소비자방송을보다,13,
NNP,토요경제,토요경제,4,
NNP,통일TV,통일TV,4,
NNP,투데이에너지,투데이에너지,6,
NNP,투데이포커스,투데이포커스,6,
NNP,투데이e뉴스,투데이e뉴스,6,
NNP,특허뉴스,특허뉴스,4,
NNP,파이낸셜코리아,파이낸셜코리아,7,
NNP,파주방송,파주방송,4,
NNP,파코즈,파코즈,3,
NNP,평안신문,평안신문,4,
NNP,포브스코리아,포브스코리아,6,
NNP,포커스마라톤,포커스마라톤,6,
NNP,포토뉴스,포토뉴스,4,
NNP,프랜차이즈경제신문,프랜차이즈경제신문,9,
NNP,플레이포럼,플레이포럼,5,
NNP,피플코리아,피플코리아,5,
NNP,하이파이클럽,하이파이클럽,6,
NNP,한겨레_겔로그,한겨레_겔로그,7,
NNP,한겨레_필통,한겨레_필통,6,
NNP,한겨레교육과미래,한겨레교육과미래,8,
NNP,한국경제_부동산,한국경제_부동산,8,
NNP,한국경제_자동차,한국경제_자동차,8,
NNP,한국기자연대,한국기자연대,6,
NNP,한국바스프,한국바스프,5,
NNP,한국유통신문,한국유통신문,6,
NNP,한국정보통신,한국정보통신,6,
NNP,한국철강신문,한국철강신문,6,
NNP,한국케이블TV나라방송,한국케이블TV나라방송,11,
NNP,한국푸른쉼터신문,한국푸른쉼터신문,8,
NNP,한국해운신문,한국해운신문,6,
NNP,한남일보,한남일보,4,
NNP,한인일보,한인일보,4,
NNP,한톨식품안전신문,한톨식품안전신문,8,
NNP,항도신문,항도신문,4,
NNP,해남방송,해남방송,4,
NNP,해남신문,해남신문,4,
NNP,해진신문,해진신문,4,
NNP,헬스조선,헬스조선,4,
NNP,호남뉴스라인,호남뉴스라인,6,
NNP,호남도민일보,호남도민일보,6,
NNP,호주기독교인터넷방송,호주기독교인터넷방송,10,
NNP,호주뉴스,호주뉴스,4,
NNP,호주일보,호주일보,4,
NNP,홍천인터넷뉴스,홍천인터넷뉴스,7,
NNP,화순미래뉴스,화순미래뉴스,6,
NNP,화순의소리,화순의소리,5,
NNP,화학공업일보,화학공업일보,6,
NNP,환경TV,환경TV,4,
NNP,희망방송,희망방송,4,
NNP,Advertising,Advertising,11,
NNP,AK1525,AK1525,6,
NNP,CHOL클럽,CHOL클럽,6,
NNP,CJ헬로비전,CJ헬로비전,6,
NNP,CMB,CMB,3,
NNP,cnews041,cnews041,8,
NNP,CTRADEWORLD,CTRADEWORLD,11,
NNP,designflux,designflux,10,
NNP,DSLR카페,DSLR카페,6,
NNP,dvdrwinfo,dvdrwinfo,9,
NNP,ETNews,ETNews,6,
NNP,FindAll,FindAll,7,
NNP,globalstandard,globalstandard,14,
NNP,gnn365,gnn365,6,
NNP,gnn365_서대문뉴스,gnn365_서대문뉴스,12,
NNP,haninTV,haninTV,7,
NNP,HCN_현대커뮤니케이션네트워크,HCN_현대커뮤니케이션네트워크,16,
NNP,i검찰뉴스,i검찰뉴스,5,
NNP,INZTimes,INZTimes,8,
NNP,JEI재능방송,JEI재능방송,7,
NNP,kbc-news,kbc-news,8,
NNP,KBCNZ한인방송,KBCNZ한인방송,9,
NNP,KBS_World,KBS_World,9,
NNP,KBSI,KBSI,4,
NNP,leaders,leaders,7,
NNP,M&A타임즈,M&A타임즈,6,
NNP,MSN뉴스,MSN뉴스,5,
NNP,Newsweek한국판,Newsweek한국판,11,
NNP,Nsm5동호회,Nsm5동호회,7,
NNP,NZEND_거상2,NZEND_거상2,9,
NNP,NZEND_건틀렛온라인,NZEND_건틀렛온라인,12,
NNP,NZEND_라그나로크2,NZEND_라그나로크2,12,
NNP,NZEND_파천일검2,NZEND_파천일검2,11,
NNP,NZEND_풍류공작소,NZEND_풍류공작소,11,
NNP,OnMovieStyle,OnMovieStyle,12,
NNP,PCB포항방송,PCB포항방송,7,
NNP,Pixon,Pixon,5,
NNP,pnpnews,pnpnews,7,
NNP,progressive21,progressive21,13,
NNP,SBN대한방송,SBN대한방송,7,
NNP,TheNewKoreaHerald,TheNewKoreaHerald,17,
NNP,views&news,views&news,10,
NNP,VOAnews_kr,VOAnews_kr,10,
NNP,WaveTV,WaveTV,6,
NNP,zdnet_kr,zdnet_kr,8,
NNP,매일경제증권센터,매일경제증권센터,8,
NNP,조선경제비즈,조선경제비즈,6,
NNP,미디어인뉴스,미디어인뉴스,6,
NNP,DIP통신,DIP통신,5,
NNP,전파신문,전파신문,4,
NNP,스터프코리아,스터프코리아,6,
NNP,CIOBIZ,CIOBIZ,6,
NNP,ftoday,ftoday,6,
NNP,아이러브PC방,아이러브PC방,7,
NNP,한경Business,한경Business,10,
NNP,에너지경제,에너지경제,5,
NNP,유통데일리,유통데일리,5,
NNP,건설기계신문,건설기계신문,6,
NNP,경찰정보신문,경찰정보신문,6,
NNP,한국방송뉴스,한국방송뉴스,6,
NNP,CBS제주,CBS제주,5,
NNP,자동차신문,자동차신문,5,
NNP,한국안경신문,한국안경신문,6,
NNP,나우뉴스,나우뉴스,4,
NNP,대구시민일보,대구시민일보,6,
NNP,연합타임즈,연합타임즈,5,
NNP,한국ngo,한국ngo,5,
NNP,huffingtonpost,huffingtonpost,14,
NNP,it-times,it-times,8,
NNP,건설타임즈,건설타임즈,5,
NNP,민주일보,민주일보,4,
NNP,여행정보신문,여행정보신문,6,
NNP,한국법률일보,한국법률일보,6,
NNP,부여뉴스,부여뉴스,4,
NNP,부천오늘신문,부천오늘신문,6,
NNP,수원영통뉴스,수원영통뉴스,6,
NNP,양구뉴스,양구뉴스,4,
NNP,데일리노컷뉴스,데일리노컷뉴스,7,
NNP,뉴스웨이호남취재본부,뉴스웨이호남취재본부,10,
NNP,EBN산업뉴스,EBN산업뉴스,7,
NNP,SBS mtv,SBS mtv,7,
NNP,경상매일신문,경상매일신문,6,
NNP,교차로신문,교차로신문,5,
NNP,뉴스토마토,뉴스토마토,5,
NNP,동서방송,동서방송,4,
NNP,동아닷컴,동아닷컴,4,
NNP,소비자고발신문,소비자고발신문,7,
NNP,아이뉴스24,아이뉴스24,6,
NNP,아이비타임즈,아이비타임즈,6,
NNP,안전신문,안전신문,4,
NNP,야후금융한국,야후금융한국,6,
NNP,월드경제신문,월드경제신문,6,
NNP,웨프뉴스,웨프뉴스,4,
NNP,재경TV,재경TV,4,
NNP,전자신문 비즈니스,전자신문 비즈니스,9,
NNP,전자신문 자동차,전자신문 자동차,8,
NNP,강남서초내일신문,강남서초내일신문,8,
NNP,joins msn 라이프,joins msn 라이프,13,
NNP,The Wall Street Journal,The Wall Street Journal,23,
NNP,Gvalley,Gvalley,7,
NNP,38커뮤니케이션,38커뮤니케이션,8,
NNP,아이마소뉴스,아이마소뉴스,6,
NNP,joins msn 이슈링,joins msn 이슈링,13,
NNP,경총츨라자,경총츨라자,5,
NNP,icross뉴스,icross뉴스,8,
NNP,중앙일보,중앙일보,4,
NNP,동아 econogy,동아 econogy,10,
NNP,인베스트조선,인베스트조선,6,
NNP,마켓인사이드,마켓인사이드,6,
NNP,레이더M,레이더M,4,
NNP,the bell,the bell,8,
NNP,KBS NEWS,KBS NEWS,8,
NNP,네이버뉴스,네이버뉴스,5,
NNP,IT WORLD,IT WORLD,8,
NNP,이슈와뉴스,이슈와뉴스,5,
NNP,월간금융계,월간금융계,5,
NNP,Newsen.com,Newsen.com,10,
NNP,강원평창2018,강원평창2018,8,
NNP,매일경제 MBN,매일경제 MBN,8,
NNP,한국경제,한국경제,4,
NNP,JOINSMSN,JOINSMSN,8,
NNP,로피씨엘옴므,로피씨엘옴므,6,
NNP,LGCNS더모아진,LGCNS더모아진,9,
NNP,서울신문,서울신문,4,
NNP,중앙일보,중앙일보,4,
NNP,한경매거진,한경매거진,5,
NNP,아이타임즈,아이타임즈,5,
NNP,쿠키뉴스,쿠키뉴스,4,
NNP,SBS뉴스,SBS뉴스,5,
NNP,연합뉴스,연합뉴스,4,
NNP,헤럴드경제,헤럴드경제,5,
NNP,아주경제,아주경제,4,
NNP,그린데일리,그린데일리,5,
NNP,gwdbs.org,gwdbs.org,9,
NNP,032라이프,032라이프,6,
NNP,10아시아,10아시아,5,
NNP,1318교육신문,1318교육신문,8,
NNP,이천뉴스,이천뉴스,4,
NNP,사천넷,사천넷,3,
NNP,사천신문,사천신문,4,
NNP,흑룡강코리언,흑룡강코리언,6,
NNP,구민신문,구민신문,4,
NNP,ABN아름방송,ABN아름방송,7,
NNP,아카넷TV,아카넷TV,5,
NNP,아크로팬,아크로팬,4,
NNP,adelaidefocus,adelaidefocus,13,
NNP,안동인터넷뉴스,안동인터넷뉴스,7,
NNP,admiredcompany,admiredcompany,14,
NNP,선진한국,선진한국,4,
NNP,농수축산신문,농수축산신문,6,
NNP,AFNkorea,AFNkorea,8,
NNP,한국농어민신문,한국농어민신문,7,
NNP,안산저널,안산저널,4,
NNP,아주경제,아주경제,4,
NNP,아산저널,아산저널,4,
NNP,얼루어코리아,얼루어코리아,6,
NNP,AlphaGalileo,AlphaGalileo,12,
NNP,AM7,AM7,3,
NNP,교회와신앙,교회와신앙,5,
NNP,KBS안동,KBS안동,5,
NNP,안동넷,안동넷,3,
NNP,안동MBC,안동MBC,5,
NNP,원주교차로,원주교차로,5,
NNP,아시아뉴스통신,아시아뉴스통신,7,
NNP,애니원,애니원,3,
NNP,연세애널스,연세애널스,5,
NNP,안산시민신문,안산시민신문,6,
NNP,우리안산넷,우리안산넷,5,
NNP,안산타임스,안산타임스,5,
NNP,뉴스앤포커스,뉴스앤포커스,6,
NNP,안산정론신문,안산정론신문,6,
NNP,자치안성신문,자치안성신문,6,
NNP,안양광역신문,안양광역신문,6,
NNP,월간사과나무,월간사과나무,6,
NNP,어패럴뉴스,어패럴뉴스,5,
NNP,APT2you,APT2you,7,
NNP,아파트관리신문,아파트관리신문,7,
NNP,아리랑TV,아리랑TV,5,
NNP,아츠뉴스,아츠뉴스,4,
NNP,아산뉴스,아산뉴스,4,
NNP,아산투데이,아산투데이,5,
NNP,아시아경제,아시아경제,5,
NNP,아시아일보,아시아일보,5,
NNP,아시아포스트,아시아포스트,6,
NNP,아시아투데이,아시아투데이,6,
NNP,안산인터넷뉴스,안산인터넷뉴스,7,
NNP,국회신문,국회신문,4,
NNP,안성신문,안성신문,4,
NNP,행정뉴스,행정뉴스,4,
NNP,애틀랜타조선일보,애틀랜타조선일보,8,
NNP,joinsmsn자동차,joinsmsn자동차,11,
NNP,Automobilemag,Automobilemag,13,
NNP,오토레이싱,오토레이싱,5,
NNP,오토스파이,오토스파이,5,
NNP,오토타임즈,오토타임즈,5,
NNP,안양시민신문,안양시민신문,6,
NNP,안양뉴스,안양뉴스,4,
NNP,EBN바다뉴스,EBN바다뉴스,7,
NNP,최남단방어축제,최남단방어축제,7,
NNP,반월신문,반월신문,4,
NNP,바로코리아,바로코리아,5,
NNP,MONETA,MONETA,6,
NNP,BBS불교방송,BBS불교방송,7,
NNP,부산불교방송,부산불교방송,6,
NNP,부천타운,부천타운,4,
NNP,부천데일리뉴스,부천데일리뉴스,7,
NNP,부천매일,부천매일,4,
NNP,부천미래신문,부천미래신문,6,
NNP,법보신문,법보신문,4,
NNP,서울건축환경,서울건축환경,6,
NNP,베를린리포트,베를린리포트,6,
NNP,베스트일레븐,베스트일레븐,6,
NNP,베타뉴스,베타뉴스,4,
NNP,바이블파워,바이블파워,5,
NNP,충북인의웹진빅뱅,충북인의웹진빅뱅,8,
NNP,빅뉴스,빅뉴스,3,
NNP,비즈앤이슈,비즈앤이슈,5,
NNP,Bio,Bio,3,
NNP,비즈데일리,비즈데일리,5,
NNP,기업앤미디어,기업앤미디어,6,
NNP,비즈플레이스,비즈플레이스,6,
NNP,부천자치신문,부천자치신문,6,
NNP,바른지역언론연대,바른지역언론연대,8,
NNP,북경기신문,북경기신문,5,
NNP,조선일보블로그,조선일보블로그,7,
NNP,한겨레블로그,한겨레블로그,6,
NNP,한국일보블로그,한국일보블로그,7,
NNP,중앙일보블로그,중앙일보블로그,7,
NNP,연합뉴스블로그,연합뉴스블로그,7,
NNP,블로터닷넷,블로터닷넷,5,
NNP,보안뉴스,보안뉴스,4,
NNP,보은e뉴스,보은e뉴스,5,
NNP,보은신문,보은신문,4,
NNP,복지타임즈,복지타임즈,5,
NNP,보건신문,보건신문,4,
NNP,일간보사,일간보사,4,
NNP,보스톤코리아,보스톤코리아,6,
NNP,부평신문,부평신문,4,
NNP,브레인미디어,브레인미디어,6,
NNP,BreakNews,BreakNews,9,
NNP,보령인터넷뉴스,보령인터넷뉴스,7,
NNP,시사보령,시사보령,4,
NNP,부산노컷,부산노컷,4,
NNP,부산경제신문,부산경제신문,6,
NNP,부산프리즘,부산프리즘,5,
NNP,불교TV,불교TV,4,
NNP,디지털부안신문,디지털부안신문,7,
NNP,부안21,부안21,4,
NNP,부천시민신문,부천시민신문,6,
NNP,부천신문,부천신문,4,
NNP,부천타임즈,부천타임즈,5,
NNP,밝은세상뉴스,밝은세상뉴스,6,
NNP,불교포커스,불교포커스,5,
NNP,불교투데이,불교투데이,5,
NNP,불교닷컴,불교닷컴,4,
NNP,부산일보,부산일보,4,
NNP,KBS부산,KBS부산,5,
NNP,비즈니스매거진,비즈니스매거진,7,
NNP,바이킹,바이킹,3,
NNP,천안일보,천안일보,4,
NNP,매경자동차,매경자동차,5,
NNP,카고뉴스,카고뉴스,4,
NNP,해운항공신문,해운항공신문,6,
NNP,자동차생활,자동차생활,5,
NNP,CarLNC,CarLNC,6,
NNP,가톨릭신문,가톨릭신문,5,
NNP,충북인뉴스,충북인뉴스,5,
NNP,CBSNEWS,CBSNEWS,7,
NNP,충청일보,충청일보,4,
NNP,충청매일,충청매일,4,
NNP,충청뉴스,충청뉴스,4,
NNP,충남신문,충남신문,4,
NNP,충청타임즈,충청타임즈,5,
NNP,충청투데이,충청투데이,5,
NNP,Seeko,Seeko,5,
NNP,한국상공인신문,한국상공인신문,7,
NNP,CEO뉴스,CEO뉴스,5,
NNP,ceopost,ceopost,7,
NNP,충청포커스,충청포커스,5,
NNP,그리스도복음신보,그리스도복음신보,8,
NNP,춘천노컷,춘천노컷,4,
NNP,강원희망신문,강원희망신문,6,
NNP,참뉴스,참뉴스,3,
NNP,참소리,참소리,3,
NNP,창원극동방송,창원극동방송,6,
NNP,KBS창원,KBS창원,5,
NNP,보령신문,보령신문,4,
NNP,춘천불교방송,춘천불교방송,6,
NNP,청도신문,청도신문,4,
NNP,제주MBC,제주MBC,5,
NNP,켐로커스,켐로커스,4,
NNP,천안넷,천안넷,3,
NNP,KBS청주,KBS청주,5,
NNP,철원신문,철원신문,4,
NNP,차이나워치,차이나워치,5,
NNP,춘천MBC,춘천MBC,5,
NNP,크리스천노컷뉴스,크리스천노컷뉴스,8,
NNP,크리스천헤럴드,크리스천헤럴드,7,
NNP,크리스천라이프,크리스천라이프,7,
NNP,크리스천투데이,크리스천투데이,7,
NNP,크리스찬투데이,크리스찬투데이,7,
NNP,축산경제신문,축산경제신문,6,
NNP,축산뉴스,축산뉴스,4,
NNP,KBS춘천,KBS춘천,5,
NNP,춘천신문,춘천신문,4,
NNP,연세춘추,연세춘추,4,
NNP,KBS충주,KBS충주,5,
NNP,충남일보,충남일보,4,
NNP,충남시사신문,충남시사신문,6,
NNP,크리스챤뉴스,크리스챤뉴스,6,
NNP,씨네21,씨네21,4,
NNP,CIO,CIO,3,
NNP,씨스켐닷컴,씨스켐닷컴,5,
NNP,씨티21,씨티21,4,
NNP,청주노컷,청주노컷,4,
NNP,CJB청주방송,CJB청주방송,7,
NNP,청주불교방송,청주불교방송,6,
NNP,청주일보,청주일보,4,
NNP,충주인터넷신문,충주인터넷신문,7,
NNP,충주MBC,충주MBC,5,
NNP,이판사판,이판사판,4,
NNP,시티,시티,2,
NNP,CMB한강방송,CMB한강방송,7,
NNP,CMB광주방송,CMB광주방송,7,
NNP,CMB충청방송,CMB충청방송,7,
NNP,CMN,CMN,3,
NNP,CNBNews,CNBNews,7,
NNP,CN드림,CN드림,4,
NNP,건설경제_cnews,건설경제_cnews,10,
NNP,씨앤엠,씨앤엠,3,
NNP,CNN한글뉴스,CNN한글뉴스,7,
NNP,코카뉴스,코카뉴스,4,
NNP,컴백홈,컴백홈,3,
NNP,컴퓨터타임즈,컴퓨터타임즈,6,
